#ID	Name
G1	yneL
G2	nikR
G3	dnaA
G4	tdcA
G5	yhjB
G6	nemR
G7	cspA
G8	metR
G9	dhaR
G10	rcsA
G11	araC
G12	adiY
G13	nac
G14	yqhC
G15	decoy18
G16	yjjM
G17	rpoN
G18	ykgD
G19	marR
G20	cspE
G21	yciT
G22	lrhA
G23	fis
G24	csiR
G25	rbsR
G26	yebK
G27	rpoE
G28	decoy11
G29	gcvR
G30	decoy9
G31	sdiA
G32	uidR
G33	yihL
G34	decoy6
G35	ygbI
G36	glcC
G37	rtcR
G38	cdaR
G39	birA
G40	ydiP
G41	mcbR
G42	luxS
G43	arsR
G44	ascG
G45	yfeR
G46	abrB
G47	yafC
G48	hcaR
G49	decoy16
G50	decoy4
G51	mngR
G52	rseC
G53	feoC
G54	yahD
G55	crp
G56	tdcR
G57	hipB
G58	glpR
G59	ydcR
G60	mtlR
G61	sgrR
G62	ydhB
G63	crl
G64	decoy1
G65	racR
G66	phoB
G67	abgR
G68	uhpA
G69	pdhR
G70	decoy14
G71	frlR
G72	creB
G73	lexA
G74	nanR
G75	sgcR
G76	lacI
G77	pspB
G78	betI
G79	puuR
G80	dicA
G81	decoy30
G82	hipA
G83	dcuR
G84	metJ
G85	yqjI
G86	cpxR
G87	yrbA
G88	decoy19
G89	marA
G90	yeeY
G91	ybiH
G92	fnr
G93	osmE
G94	ygjM
G95	lsrR
G96	hdfR
G97	ytfH
G98	decoy2
G99	fhlA
G100	yiaU
G101	zraR
G102	yedW
G103	acrR
G104	feaR
G105	yidZ
G106	rhaR
G107	gntR
G108	ygaV
G109	kdpE
G110	flhD
G111	yddM
G112	yhaJ
G113	hupB
G114	ykgA
G115	exuR
G116	iscR
G117	yfiE
G118	trpR
G119	ilvY
G120	cusR
G121	kdgR
G122	srlR
G123	envR
G124	ygeV
G125	phoP
G126	decoy22
G127	nadR
G128	chbR
G129	yidF
G130	arcB
G131	matA
G132	yfaX
G133	decoy8
G134	ebgR
G135	ttdR
G136	ygeH
G137	yjiR
G138	evgA
G139	frmR
G140	cysB
G141	fimZ
G142	pspF
G143	ycaN
G144	baeR
G145	malT
G146	yijO
G147	fadR
G148	xapR
G149	aaeR
G150	csgD
G151	caiF
G152	deoR
G153	ycjZ
G154	yjdC
G155	ygiV
G156	frvR
G157	dsdC
G158	yidL
G159	decoy3
G160	prpR
G161	fucR
G162	zntR
G163	mqsR
G164	ada
G165	ypdC
G166	torR
G167	melR
G168	mntR
G169	atoC
G170	tyrR
G171	yeiL
G172	nrdR
G173	ypdB
G174	norR
G175	paaX
G176	dgsA
G177	eutR
G178	mhpR
G179	pepA
G180	yhcF
G181	yeaT
G182	sfsB
G183	hupA
G184	ygfI
G185	yphH
G186	yjiE
G187	lldR
G188	gadW
G189	treR
G190	ydeM
G191	ydfH
G192	narL
G193	cueR
G194	flgM
G195	decoy20
G196	decoy28
G197	cbl
G198	ycjW
G199	purR
G200	yagI
G201	rpoD
G202	fabR
G203	bolA
G204	rpoH
G205	gcvA
G206	yidP
G207	iclR
G208	nsrR
G209	rstA
G210	rob
G211	dgoR
G212	rfaH
G213	yehT
G214	yfeD
G215	yfhH
G216	yefM
G217	yiiE
G218	ybdO
G219	flhC
G220	narP
G221	ulaR
G222	ybhD
G223	argR
G224	rutR
G225	decoy13
G226	yjhI
G227	galR
G228	yjhU
G229	ydjF
G230	yeiE
G231	yghO
G232	argP
G233	gutM
G234	basR
G235	oxyR
G236	rhaS
G237	ybaQ
G238	yaiV
G239	decoy10
G240	decoy15
G241	asnC
G242	rho
G243	fecI
G244	lrp
G245	rpiR
G246	fecR
G247	yiaJ
G248	decoy23
G249	qseB
G250	ydcN
G251	cadC
G252	decoy17
G253	uxuR
G254	gadX
G255	modE
G256	decoy24
G257	ycfQ
G258	agaR
G259	gadE
G260	nagC
G261	gatR
G262	envY
G263	allS
G264	nhaR
G265	yihW
G266	decoy7
G267	decoy5
G268	ihfB
G269	malI
G270	ygeK
G271	ydeO
G272	yagP
G273	bglJ
G274	rcsB
G275	yahB
G276	ychQ
G277	cytR
G278	mprA
G279	leuO
G280	putA
G281	hns
G282	fruR
G283	ompR
G284	relE
G285	xylR
G286	ynfL
G287	alpA
G288	decoy12
G289	rcnR
G290	decoy21
G291	ychA
G292	yjfJ
G293	cspC
G294	ybeF
G295	rseB
G296	yaiW
G297	decoy25
G298	yjgJ
G299	yoeB
G300	dpiA
G301	hyfR
G302	mlrA
G303	glnG
G304	ybaO
G305	fur
G306	pspC
G307	decoy27
G308	yneJ
G309	soxS
G310	ytfA
G311	idnR
G312	ybhN
G313	arcA
G314	yeaM
G315	galS
G316	rpoS
G317	lysR
G318	yiaG
G319	appY
G320	decoy26
G321	phnF
G322	yhjC
G323	soxR
G324	decoy29
G325	alaS
G326	slyA
G327	ydcI
G328	zur
G329	fliA
G330	allR
G331	stpA
G332	relB
G333	ihfA
G334	cynR
G335	ryfA
G336	rplK
G337	otsB
G338	rpsS
G339	guaD
G340	sufC
G341	yccW
G342	ilvE
G343	paaK
G344	ybgH
G345	intR
G346	ymgD
G347	yeeJ
G348	rplS
G349	trpT
G350	deaD
G351	ccmA
G352	ycaM
G353	flgF
G354	nfrB
G355	dgt
G356	ybjK
G357	yahN
G358	ptrB
G359	ydaG
G360	add
G361	yciC
G362	yihO
G363	argD
G364	ycjT
G365	rplR
G366	yhiN
G367	copA
G368	yicC
G369	garP
G370	frlD
G371	afuB
G372	yghS
G373	yigF
G374	yicG
G375	yijP
G376	yadK
G377	yfhA
G378	ryeC
G379	tag
G380	ompG
G381	ybbP
G382	garK
G383	decoy126
G384	waaU
G385	potH
G386	pldA
G387	mnmA
G388	ydfW
G389	intS
G390	gapC
G391	ypdF
G392	yiaO
G393	ygjJ
G394	polA
G395	hda
G396	yjaA
G397	ydhI
G398	modB
G399	tsf
G400	leuX
G401	ydgH
G402	csrB
G403	menD
G404	gloB
G405	yfgM
G406	yagW
G407	tatB
G408	entD
G409	yfaA
G410	poxB
G411	yeeU
G412	yqhG
G413	flhA
G414	nlpE
G415	ybfK
G416	yeeO
G417	uxaC
G418	cusC
G419	hemF
G420	mltD
G421	mdaB
G422	tauB
G423	yjgF
G424	norV
G425	modA
G426	yacG
G427	gpp
G428	cmoB
G429	yfdF
G430	fieF
G431	flgC
G432	ldcA
G433	acrA
G434	ilvB
G435	ogrK
G436	decoy207
G437	mdtD
G438	frlA
G439	ygbJ
G440	yqaE
G441	iaaA
G442	rsxA
G443	mtlD
G444	argC
G445	rhsA
G446	pinH
G447	cspH
G448	araE
G449	wzb
G450	uvrB
G451	yhbY
G452	glgB
G453	ygjG
G454	fimE
G455	yfaQ
G456	decoy155
G457	gsp
G458	gfcA
G459	speA
G460	nudL
G461	exoD
G462	ligA
G463	alr
G464	groS
G465	cysA
G466	yhdP
G467	ykfJ
G468	frlC
G469	cadA
G470	djlC
G471	gudD
G472	ndk
G473	alsK
G474	folC
G475	dgkA
G476	ybiB
G477	yphG
G478	quuQ
G479	yfdM
G480	glnQ
G481	yadG
G482	trpC
G483	ypeA
G484	yjhC
G485	lit
G486	ecnA
G487	yibF
G488	nuoG
G489	recO
G490	ftsK
G491	ygjN
G492	ulaD
G493	mdtJ
G494	yfhM
G495	tnaC
G496	rseX
G497	ydjE
G498	ylbG
G499	rpsF
G500	yoaB
G501	yajO
G502	mdoC
G503	ymgA
G504	ddlA
G505	truD
G506	yecT
G507	ftsX
G508	yciW
G509	elbA
G510	dipZ
G511	ybfO
G512	pepD
G513	folP
G514	yajL
G515	tynA
G516	yiaB
G517	gmr
G518	hslJ
G519	purA
G520	pitB
G521	fumA
G522	wbbL
G523	leuE
G524	yiiS
G525	gatZ
G526	ygcR
G527	yhfX
G528	yicR
G529	insJ
G530	intA
G531	decoy181
G532	ftsL
G533	eutS
G534	aceB
G535	btuE
G536	ykfB
G537	yihX
G538	wcaB
G539	lsrF
G540	rhsC
G541	ybbA
G542	symR
G543	decoy31
G544	ydhT
G545	fiu
G546	pps
G547	ygfA
G548	hypF
G549	menF
G550	rfaB
G551	yqcC
G552	yafM
G553	ytcA
G554	yadD
G555	yjbB
G556	mraY
G557	yhaK
G558	acrD
G559	yiaC
G560	dld
G561	phoE
G562	msbA
G563	gspI
G564	lysP
G565	aroL
G566	pdxK
G567	yfaT
G568	rsmB
G569	rpiA
G570	garR
G571	mltF
G572	rrfA
G573	decoy154
G574	rimK
G575	ftsB
G576	yfaD
G577	pheT
G578	yjcZ
G579	kbaY
G580	hybF
G581	ygfK
G582	yfjS
G583	yedR
G584	uhpB
G585	ypjD
G586	yghE
G587	mdtB
G588	ygeN
G589	xseA
G590	hyfB
G591	hsdR
G592	moaA
G593	ompF
G594	decoy161
G595	yhbU
G596	brnQ
G597	insH
G598	yggS
G599	mtn
G600	lysU
G601	leuD
G602	yfgO
G603	ybgF
G604	lpxT
G605	yhhX
G606	ygdT
G607	yifK
G608	amn
G609	yjgA
G610	gspC
G611	rfaI
G612	intZ
G613	yafJ
G614	cls
G615	mppA
G616	bfd
G617	csrD
G618	yhhZ
G619	livF
G620	rbn
G621	cadB
G622	gmm
G623	yhhJ
G624	rlmF
G625	ytfI
G626	ygcP
G627	ygiL
G628	ubiC
G629	pgsA
G630	yagK
G631	yciM
G632	ftnB
G633	exoX
G634	rcnA
G635	yggX
G636	pth
G637	yggM
G638	decoy116
G639	fliS
G640	yhaO
G641	mdtP
G642	yggN
G643	ybiP
G644	phr
G645	iap
G646	ybcV
G647	abgB
G648	queC
G649	ybfB
G650	livJ
G651	ybhU
G652	yfbM
G653	speC
G654	yaiO
G655	cysE
G656	amiB
G657	hflD
G658	ahpF
G659	cydA
G660	decoy120
G661	alx
G662	tolB
G663	ompW
G664	ymfR
G665	phoQ
G666	hdeD
G667	yhaH
G668	hflX
G669	ydcO
G670	pagB
G671	thrB
G672	tfaD
G673	gcvT
G674	ddlB
G675	ychF
G676	yobF
G677	ygfQ
G678	napB
G679	ydjL
G680	xylE
G681	fucU
G682	aaaD
G683	yohO
G684	nuoH
G685	ddpA
G686	pyrL
G687	decoy86
G688	nikC
G689	abgA
G690	speD
G691	chbB
G692	rimI
G693	yhdZ
G694	yncL
G695	htrL
G696	ydiM
G697	ybcF
G698	yohF
G699	yraN
G700	metE
G701	emrD
G702	sdhC
G703	yoaF
G704	uidA
G705	elbB
G706	yfgD
G707	yhfK
G708	yhaM
G709	yoaI
G710	rnt
G711	sokA
G712	cmtA
G713	mrdA
G714	hisP
G715	yjjJ
G716	rpoA
G717	decoy197
G718	dsbG
G719	eco
G720	eutL
G721	ymjA
G722	yieH
G723	decoy94
G724	seqA
G725	def
G726	proC
G727	decoy206
G728	ybdF
G729	lpxP
G730	ddpF
G731	dsbC
G732	yqiB
G733	glgS
G734	ykgG
G735	yafV
G736	ybiX
G737	decoy47
G738	hemC
G739	yehR
G740	hybE
G741	rsxG
G742	ygeF
G743	yqjK
G744	yghG
G745	dpiB
G746	kefB
G747	yhiQ
G748	yafS
G749	treF
G750	yjgM
G751	yiiG
G752	pauD
G753	prc
G754	yeaZ
G755	secY
G756	bcsG
G757	yfbR
G758	ysaD
G759	ycbX
G760	ylbH
G761	ybcN
G762	talB
G763	intG
G764	iraP
G765	rluB
G766	yceM
G767	ygfZ
G768	eutQ
G769	cysG
G770	prfC
G771	ymgC
G772	yjcS
G773	yggC
G774	sufS
G775	lpcA
G776	ycgR
G777	ydiS
G778	btuC
G779	yadS
G780	viaA
G781	yjeP
G782	xylF
G783	ldhA
G784	uspA
G785	gyrA
G786	gpmA
G787	ybhK
G788	rplI
G789	ybcW
G790	yqeH
G791	astA
G792	yaiA
G793	ypfM
G794	hyfG
G795	ykfG
G796	micF
G797	argG
G798	rne
G799	puuB
G800	sgcC
G801	rsgA
G802	ypjI
G803	decoy71
G804	accB
G805	nudF
G806	yddV
G807	efeO
G808	idnD
G809	fabA
G810	rplM
G811	rlmB
G812	rttR
G813	hisQ
G814	rffM
G815	poxA
G816	tehA
G817	cysM
G818	yehY
G819	elaA
G820	truC
G821	ydiJ
G822	sfmD
G823	fepB
G824	tauD
G825	yfcR
G826	accA
G827	mukB
G828	yfcD
G829	yraM
G830	mgsA
G831	decoy34
G832	decoy51
G833	eutG
G834	eutH
G835	motB
G836	fxsA
G837	idnO
G838	rna
G839	recX
G840	ynjH
G841	sfmA
G842	mmuM
G843	ybiY
G844	nrdH
G845	atpC
G846	rraB
G847	sodA
G848	ryeA
G849	yegT
G850	uspF
G851	isrB
G852	ygbE
G853	glyA
G854	yhdV
G855	dcuS
G856	infA
G857	moaC
G858	ygcH
G859	yadH
G860	rrmJ
G861	decoy119
G862	uvrY
G863	wcaI
G864	hcp
G865	stfR
G866	ybjJ
G867	decoy37
G868	ybcI
G869	ynfE
G870	leuS
G871	yneH
G872	thrV
G873	decoy79
G874	yqiJ
G875	sppA
G876	nirD
G877	yrbG
G878	dinB
G879	edd
G880	ybbL
G881	malZ
G882	atpI
G883	pgm
G884	fliD
G885	yggP
G886	proX
G887	acs
G888	yafO
G889	omrA
G890	leuW
G891	rffD
G892	cspB
G893	yfiR
G894	panC
G895	trkG
G896	aidB
G897	hisJ
G898	parC
G899	ydeU
G900	rbfA
G901	yebT
G902	yahC
G903	uidB
G904	ycaL
G905	mutM
G906	hyfF
G907	tdcE
G908	decoy113
G909	yigG
G910	mrr
G911	flhB
G912	ruvB
G913	ygiF
G914	dhaL
G915	rmuC
G916	insO
G917	yphD
G918	holC
G919	ydjI
G920	yfeC
G921	ykfC
G922	yfdQ
G923	pgaB
G924	phnH
G925	ydhV
G926	symE
G927	hyuA
G928	yigE
G929	dusC
G930	oxyS
G931	dinI
G932	lolA
G933	yihR
G934	cysU
G935	ryhA
G936	aldA
G937	malS
G938	decoy122
G939	yjdF
G940	decoy45
G941	decoy53
G942	groL
G943	fabH
G944	yoaH
G945	fhuA
G946	fpr
G947	purH
G948	cyaR
G949	ppx
G950	rimL
G951	rplE
G952	kbaZ
G953	manA
G954	yejA
G955	macB
G956	fabB
G957	cbrC
G958	gpsA
G959	mokA
G960	yggT
G961	metH
G962	mdlA
G963	ymdC
G964	emrK
G965	sdhA
G966	uvrD
G967	decoy190
G968	yicO
G969	ykgO
G970	chbG
G971	yojI
G972	nfsB
G973	decoy211
G974	gspA
G975	nudE
G976	ytfL
G977	yhjD
G978	uup
G979	yrbD
G980	yecH
G981	secF
G982	dacA
G983	cbrA
G984	yfjL
G985	ymfM
G986	ybhQ
G987	eutT
G988	rlpA
G989	dsdA
G990	ygiH
G991	yegR
G992	dusB
G993	yfgF
G994	yheV
G995	oppC
G996	hisF
G997	ydcT
G998	fixA
G999	thrU
G1000	cysW
G1001	yrdD
G1002	oxc
G1003	yhdT
G1004	proQ
G1005	mcrC
G1006	yjgH
G1007	ybiU
G1008	proV
G1009	glf
G1010	leuU
G1011	decoy145
G1012	yecN
G1013	yhbQ
G1014	nei
G1015	ylcH
G1016	yccX
G1017	ygbT
G1018	htpG
G1019	ilvL
G1020	uof
G1021	dxr
G1022	yidJ
G1023	rpsT
G1024	dedD
G1025	ygaQ
G1026	ydcY
G1027	ilvC
G1028	yedE
G1029	tdcD
G1030	rpoB
G1031	yfjK
G1032	yjdL
G1033	uxuB
G1034	tdcF
G1035	icd
G1036	tnaB
G1037	aaeA
G1038	ybeA
G1039	betT
G1040	yjhV
G1041	decoy97
G1042	mdlB
G1043	yhcG
G1044	yodC
G1045	tatC
G1046	ydgC
G1047	nikB
G1048	ygcU
G1049	rpsO
G1050	ycdX
G1051	malK
G1052	ymcE
G1053	yjhX
G1054	yciG
G1055	yraH
G1056	decoy96
G1057	rutF
G1058	ppiA
G1059	rbbA
G1060	pmbA
G1061	fhuD
G1062	gatY
G1063	appC
G1064	decoy168
G1065	kdsA
G1066	yhdH
G1067	zupT
G1068	yfaU
G1069	ymfP
G1070	xdhB
G1071	lyx
G1072	lhr
G1073	mdtL
G1074	ilvN
G1075	decoy81
G1076	ygdG
G1077	yqeJ
G1078	ydhA
G1079	pqiB
G1080	gatD
G1081	ymfQ
G1082	dacD
G1083	recG
G1084	ybfQ
G1085	yfgI
G1086	sohA
G1087	livG
G1088	decoy82
G1089	ppiD
G1090	csgE
G1091	entA
G1092	tff
G1093	yhdL
G1094	kduI
G1095	cfa
G1096	ydhP
G1097	mgtA
G1098	yidX
G1099	speE
G1100	pflA
G1101	nemA
G1102	yecS
G1103	ampG
G1104	citD
G1105	scpC
G1106	ydfU
G1107	ybfC
G1108	ais
G1109	decoy110
G1110	yadN
G1111	ytfR
G1112	ydhC
G1113	ddpX
G1114	eno
G1115	ydgJ
G1116	slp
G1117	chpA
G1118	ygcJ
G1119	yhiD
G1120	yqgF
G1121	yrbC
G1122	yagF
G1123	eutB
G1124	ybfE
G1125	yffO
G1126	ygcW
G1127	yidD
G1128	recE
G1129	truA
G1130	ygcB
G1131	yijE
G1132	insZ
G1133	melB
G1134	ycaR
G1135	aspS
G1136	decoy48
G1137	yjjP
G1138	rpsU
G1139	yffS
G1140	yedP
G1141	dtpB
G1142	ypjA
G1143	speG
G1144	ygeG
G1145	dcuB
G1146	fdhF
G1147	yebY
G1148	rsd
G1149	eutN
G1150	decoy105
G1151	yhiR
G1152	cedA
G1153	ybhJ
G1154	dam
G1155	ydiV
G1156	tyrP
G1157	cstA
G1158	arpA
G1159	bioH
G1160	dnaC
G1161	nadB
G1162	decoy163
G1163	yiaA
G1164	mltA
G1165	rzpR
G1166	ybiS
G1167	ybdL
G1168	yajD
G1169	yjcF
G1170	ruvA
G1171	decoy115
G1172	yqjE
G1173	fabZ
G1174	ygiS
G1175	ygfO
G1176	yfgG
G1177	mhpA
G1178	eutA
G1179	garD
G1180	slmA
G1181	ppdD
G1182	purT
G1183	kgtP
G1184	rfaS
G1185	yhcO
G1186	ydiU
G1187	ydjK
G1188	pgaD
G1189	yddB
G1190	lacA
G1191	yhiM
G1192	cmk
G1193	ybhO
G1194	yfaZ
G1195	lldP
G1196	yciZ
G1197	intD
G1198	recF
G1199	rpmE
G1200	ymfL
G1201	yhbO
G1202	yjgZ
G1203	mog
G1204	gshB
G1205	ycbU
G1206	frc
G1207	ybgJ
G1208	cspF
G1209	fabF
G1210	mdtK
G1211	ygiD
G1212	atoB
G1213	cho
G1214	yeaU
G1215	ybgI
G1216	baeS
G1217	pepQ
G1218	shiA
G1219	ksgA
G1220	hemG
G1221	atoD
G1222	purL
G1223	yraK
G1224	ydfN
G1225	yhdU
G1226	aqpZ
G1227	grxC
G1228	yafZ
G1229	yffQ
G1230	grxA
G1231	ycgE
G1232	maa
G1233	pabA
G1234	glyQ
G1235	yeeR
G1236	narZ
G1237	ftsY
G1238	msrA
G1239	yjfO
G1240	decoy160
G1241	yfeA
G1242	clpA
G1243	ybhA
G1244	yjjL
G1245	yehP
G1246	fumC
G1247	allC
G1248	rsmC
G1249	torZ
G1250	hlyE
G1251	yfbV
G1252	pawZ
G1253	yeiT
G1254	prkB
G1255	znuA
G1256	argA
G1257	ycjN
G1258	idi
G1259	yihS
G1260	yfdI
G1261	yebN
G1262	setB
G1263	secE
G1264	ybiO
G1265	fkpA
G1266	acrB
G1267	yacL
G1268	ycbC
G1269	yagA
G1270	pcm
G1271	secA
G1272	uvrC
G1273	sbcC
G1274	ymgF
G1275	clpP
G1276	ttcC
G1277	yheO
G1278	yjeK
G1279	ppdC
G1280	ytfE
G1281	phnI
G1282	rutC
G1283	rzpQ
G1284	iscA
G1285	decoy210
G1286	aaeX
G1287	decoy183
G1288	decoy182
G1289	yfgJ
G1290	glnH
G1291	ybgS
G1292	yieP
G1293	yieF
G1294	eamA
G1295	yfaW
G1296	yhjK
G1297	map
G1298	ydgU
G1299	anmK
G1300	yaeR
G1301	yccF
G1302	asmA
G1303	ybaE
G1304	hemX
G1305	raiA
G1306	yfdP
G1307	erpA
G1308	tdh
G1309	decoy185
G1310	rfbX
G1311	gspM
G1312	mhpT
G1313	yahE
G1314	mraW
G1315	apt
G1316	yicE
G1317	yjdQ
G1318	ansA
G1319	yoeA
G1320	yqjB
G1321	yghR
G1322	glmU
G1323	cyoE
G1324	rbsC
G1325	bcsF
G1326	rutD
G1327	yphA
G1328	glnB
G1329	yheL
G1330	gltK
G1331	gutQ
G1332	hmp
G1333	ycjG
G1334	yhdN
G1335	rplF
G1336	pdxA
G1337	decoy147
G1338	ybfM
G1339	flgN
G1340	ugpA
G1341	rplN
G1342	yejM
G1343	yodD
G1344	mscS
G1345	ytfB
G1346	yhbE
G1347	barA
G1348	secB
G1349	yjjZ
G1350	yhbJ
G1351	ibpA
G1352	yehM
G1353	yecF
G1354	nusG
G1355	ulaF
G1356	yccE
G1357	arnB
G1358	decoy195
G1359	atoS
G1360	dgoK
G1361	yhhY
G1362	btuR
G1363	psrO
G1364	yhhQ
G1365	purN
G1366	rsmF
G1367	ispB
G1368	cobU
G1369	nudJ
G1370	argH
G1371	yjbF
G1372	ycgZ
G1373	era
G1374	yddA
G1375	hepA
G1376	nadK
G1377	pqqL
G1378	tyrS
G1379	yhfT
G1380	smtA
G1381	ylaB
G1382	panE
G1383	decoy112
G1384	yjeI
G1385	rihC
G1386	decoy143
G1387	glxR
G1388	yeaJ
G1389	yejG
G1390	ybbD
G1391	katE
G1392	fimB
G1393	ypaB
G1394	hycC
G1395	norW
G1396	ygeA
G1397	ttdA
G1398	melA
G1399	decoy75
G1400	hslV
G1401	metG
G1402	nhoA
G1403	speB
G1404	gltB
G1405	yehE
G1406	hisC
G1407	decoy205
G1408	flgE
G1409	chaA
G1410	yeiS
G1411	ygfS
G1412	ybhL
G1413	yagT
G1414	lpxC
G1415	gltL
G1416	decoy204
G1417	yiaV
G1418	ubiG
G1419	yhgE
G1420	fucP
G1421	rfaL
G1422	pyrF
G1423	yceA
G1424	ydcU
G1425	intF
G1426	chpS
G1427	ssuB
G1428	tatD
G1429	thiI
G1430	ruvC
G1431	yjgK
G1432	rydB
G1433	dnaB
G1434	codB
G1435	pyrE
G1436	yagV
G1437	decoy208
G1438	yjcC
G1439	rpsE
G1440	yagU
G1441	yjiC
G1442	yfjT
G1443	nusB
G1444	zntA
G1445	cdsA
G1446	ytjA
G1447	ydiY
G1448	intE
G1449	decoy189
G1450	hokE
G1451	dnaN
G1452	ychM
G1453	priA
G1454	obgE
G1455	ymdE
G1456	decoy128
G1457	flgD
G1458	gabD
G1459	suhB
G1460	yqgB
G1461	pgaC
G1462	fliN
G1463	fkpB
G1464	epd
G1465	cld
G1466	ymfN
G1467	ydiN
G1468	rplB
G1469	cobS
G1470	nudG
G1471	ydjA
G1472	ydbH
G1473	agaC
G1474	murI
G1475	peaD
G1476	yjiL
G1477	skp
G1478	yjfZ
G1479	yeeD
G1480	ybaA
G1481	greA
G1482	dapE
G1483	yehC
G1484	minE
G1485	rutA
G1486	yqeK
G1487	prfB
G1488	yjeE
G1489	smg
G1490	nudC
G1491	dsbA
G1492	trpA
G1493	yqgE
G1494	glmS
G1495	ygaC
G1496	yfcC
G1497	yjiA
G1498	glnK
G1499	malX
G1500	rplP
G1501	matC
G1502	gspG
G1503	fic
G1504	visC
G1505	narJ
G1506	decoy87
G1507	lnt
G1508	yojO
G1509	yfiP
G1510	yadC
G1511	ydiR
G1512	znuC
G1513	decoy95
G1514	dcm
G1515	ompL
G1516	yedQ
G1517	yicT
G1518	mdtG
G1519	quuD
G1520	glmY
G1521	yajQ
G1522	sgcB
G1523	arnA
G1524	yfaY
G1525	pspD
G1526	gntP
G1527	lolE
G1528	nudK
G1529	murC
G1530	gatA
G1531	yciO
G1532	tdcB
G1533	yegI
G1534	cutA
G1535	hyi
G1536	exbD
G1537	ssrA
G1538	zraS
G1539	pflB
G1540	fepE
G1541	yedD
G1542	decoy100
G1543	fepG
G1544	yajG
G1545	carA
G1546	rfbD
G1547	ydfV
G1548	arrD
G1549	pyrI
G1550	yjgL
G1551	mtlA
G1552	yabP
G1553	mreC
G1554	dinG
G1555	decoy187
G1556	ybcM
G1557	yiaN
G1558	rhtA
G1559	rpsQ
G1560	prs
G1561	ydaE
G1562	puuP
G1563	yceG
G1564	phoA
G1565	rfaD
G1566	ftsA
G1567	yicN
